label	hash	artifact	seed	zone	floor	profession	viewport	probeIntent	tileset	visibleMaterialCells	boundsWidth	boundsHeight	fillRatioPermille	playerOffset	topologySignature
dark-uiux-pr08-generalization-ruins-proof-baseline	d79563d35243fbbd79d185f06f3c9817312a3287193b4b3361a48cfd2d904270	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-proof-baseline.png	2026051102	shattered_outpost	1	vanguard	1280x800	fixed proof crop baseline	tileset.ruins	92	13	9	786	5_4	tileset.ruins:13x9:786:5_4:92
dark-uiux-pr08-generalization-ruins-seed-2026060801	6926211c5c8969a3e8cbe40eec0779bc2bdcb2fa4ca16e5941b06260a5883b8b	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060801.png	2026060801	shattered_outpost	1	vanguard	1280x800	compact or near-start room variance	tileset.ruins	158	14	13	868	6_6	tileset.ruins:14x13:868:6_6:158
dark-uiux-pr08-generalization-ruins-seed-2026060802	c2f6f7e8a3ac8303075b2a91aa195ada3e4e112a67b71ea3c88bdd53b091c539	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060802.png	2026060802	shattered_outpost	1	rogue	1280x800	wide room or lateral bounds variance	tileset.ruins	95	13	12	608	4_4	tileset.ruins:13x12:608:4_4:95
dark-uiux-pr08-generalization-ruins-seed-2026060803	811ebb8a2c34cdbd03226d4403a716a6ce52e5c23df0b7de767cc16b3cb422ab	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060803.png	2026060803	shattered_outpost	1	arcanist	1280x800	tall room or vertical bounds variance	tileset.ruins	162	16	15	675	7_6	tileset.ruins:16x15:675:7_6:162
dark-uiux-pr08-generalization-ruins-seed-2026060804-floor2	b40992951d50ec2853d5ddabdfa50b2d2aa3eb79e3f89ad5c052ba14d6d16650	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060804-floor2.png	2026060804	shattered_outpost	2	vanguard	1280x800	corridor-heavy visible-region variance	tileset.ruins	101	13	12	647	5_4	tileset.ruins:13x12:647:5_4:101
dark-uiux-pr08-generalization-ruins-seed-2026060805-floor2	85970487c83284cff37f0cbe4dad2606434a1d76897b41bee237c13b0941d0d0	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060805-floor2.png	2026060805	shattered_outpost	2	templar	1280x800	offset or L-like visible-region variance	tileset.ruins	117	15	12	650	6_4	tileset.ruins:15x12:650:6_4:117
dark-uiux-pr08-generalization-ruins-seed-2026060806	12e7e108673cfe66a2c8d4b828e4a3f2d5591dfc4d88e942b512ed6bbcbae380	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060806.png	2026060806	shattered_outpost	1	berserker	1280x800	mixed room and corridor visibility variance	tileset.ruins	128	9	16	888	4_7	tileset.ruins:9x16:888:4_7:128
dark-uiux-pr08-generalization-ruins-seed-2026060807-floor2	4a026a7eeed05e7d72f0908b2fa21d2c72ca6532a9e33e870b1c38d2a3daac27	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060807-floor2.png	2026060807	shattered_outpost	2	rogue	1280x800	alternate procedural room-shape variance	tileset.ruins	130	12	14	773	6_5	tileset.ruins:12x14:773:6_5:130
dark-uiux-pr08-generalization-board	N/A	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-board.png	N/A	N/A	N/A	N/A	1280x800	4x2 D8 crop board	N/A	N/A	N/A	N/A	N/A	N/A	N/A
