label	hash	artifact	seed	zone	floor	profession	viewport	probeIntent	tileset	visibleMaterialCells	boundsWidth	boundsHeight	fillRatioPermille	playerOffset	topologySignature
dark-uiux-pr08-generalization-ruins-proof-baseline	d79563d35243fbbd79d185f06f3c9817312a3287193b4b3361a48cfd2d904270	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-proof-baseline.png	2026051102	shattered_outpost	1	vanguard	1280x800	fixed proof crop baseline	tileset.ruins	92	13	9	786	5_4	tileset.ruins:13x9:786:5_4:92
dark-uiux-pr08-generalization-ruins-seed-2026060801	6926211c5c8969a3e8cbe40eec0779bc2bdcb2fa4ca16e5941b06260a5883b8b	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060801.png	2026060801	shattered_outpost	1	vanguard	1280x800	compact or near-start room variance	tileset.ruins	158	14	13	868	6_6	tileset.ruins:14x13:868:6_6:158
dark-uiux-pr08-generalization-ruins-seed-2026060802	2b1853a9e4a8f5dd42c32d1ed9db2d2a073bb2c9ab8dbc4b0b4a29d5a7868922	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060802.png	2026060802	shattered_outpost	1	rogue	1280x800	wide room or lateral bounds variance	tileset.ruins	95	13	12	608	4_4	tileset.ruins:13x12:608:4_4:95
dark-uiux-pr08-generalization-ruins-seed-2026060803	3350290fd5d0a174c0201f17f6d492ad0f735e1c7e6d567911b0ff84ca5757ac	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060803.png	2026060803	shattered_outpost	1	arcanist	1280x800	tall room or vertical bounds variance	tileset.ruins	162	16	15	675	7_6	tileset.ruins:16x15:675:7_6:162
dark-uiux-pr08-generalization-ruins-seed-2026060804-floor2	517fea851646477ffa215c93e7037e98b9d21f9637d488426f3fba6451e272dc	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060804-floor2.png	2026060804	shattered_outpost	2	vanguard	1280x800	corridor-heavy visible-region variance	tileset.ruins	101	13	12	647	5_4	tileset.ruins:13x12:647:5_4:101
dark-uiux-pr08-generalization-ruins-seed-2026060805-floor2	11dc3d2f1c5172d6b8ebed0d5b97d6069c20b63f0cdd5b4be0ddf02195c7635a	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060805-floor2.png	2026060805	shattered_outpost	2	templar	1280x800	offset or L-like visible-region variance	tileset.ruins	117	15	12	650	6_4	tileset.ruins:15x12:650:6_4:117
dark-uiux-pr08-generalization-ruins-seed-2026060806	6e7778424b9c1ecbf2a2d89d87870bca5c85d82b5a61e29c86e4aeb5cf4008f0	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060806.png	2026060806	shattered_outpost	1	berserker	1280x800	mixed room and corridor visibility variance	tileset.ruins	128	9	16	888	4_7	tileset.ruins:9x16:888:4_7:128
dark-uiux-pr08-generalization-ruins-seed-2026060807-floor2	4a026a7eeed05e7d72f0908b2fa21d2c72ca6532a9e33e870b1c38d2a3daac27	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-ruins-seed-2026060807-floor2.png	2026060807	shattered_outpost	2	rogue	1280x800	alternate procedural room-shape variance	tileset.ruins	130	12	14	773	6_5	tileset.ruins:12x14:773:6_5:130
dark-uiux-pr08-generalization-board	N/A	client/build/reports/golden/dark-uiux-pr08-generalization/dark-uiux-pr08-generalization-board.png	N/A	N/A	N/A	N/A	1280x800	4x2 D8 crop board	N/A	N/A	N/A	N/A	N/A	N/A	N/A
