label	hash	artifact	seed	zone	floor	profession	tileset	topologyDecision	topologySourceKey	topologySourceArtifact	topologySourceHash	roomPlateKey	roomPlateArtifact	roomPlateHash	boundsWidth	boundsHeight	visibleCellCount	fillRatioPermille	aspectPermille	connectedComponents	playerOffset	topologySignature	contract
dark-uiux-pr08-shadow-depths-d9-disconnected-runtime-crop	4a49224bf5f79898aa6f461f554bc6eeaf5b8d47cad45269f5f7503902dc8eb9	client/build/reports/golden/dark-uiux-pr08-shadow-depths-d9-disconnected-runtime/dark-uiux-pr08-shadow-depths-d9-disconnected-runtime-crop.png	2026060920	underground_river	2	rogue	tileset.shadow_depths	TOPOLOGY_RISK_DISCONNECTED	ui.map_stage.shadow_depths.room_topology_source.pr08_demo	client/src/main/resources/dark-v1/ui/ui_map_stage_shadow_depths_room_topology_source_pr08_demo.png	12368e284c314ee32cda27683615dbd9b8f7b0396f6af6e1600c538beeed7ba1	ui.map_stage.shadow_depths.room_plate.pr08_demo	client/src/main/resources/dark-v1/ui/ui_map_stage_shadow_depths_room_plate_pr08_demo.png	c61f5f7c6f9924acbae795a606b28b7ec697e463ea31a57d120bdf70421a2c46	16	12	129	671	1333	2	7_6	tileset.shadow_depths:16x12:671:7_6:129	actual 1280x800 map-stage crop from D9 tileset.shadow_depths runtime seed
dark-uiux-pr08-shadow-depths-d9-disconnected-runtime-board	2ceea210c5b157e15e94236e7f756b33e127e5e2f2fe6178d724694d86018958	client/build/reports/golden/dark-uiux-pr08-shadow-depths-d9-disconnected-runtime/dark-uiux-pr08-shadow-depths-d9-disconnected-runtime-board.png	2026060920	underground_river	2	rogue	tileset.shadow_depths	TOPOLOGY_RISK_DISCONNECTED	ui.map_stage.shadow_depths.room_topology_source.pr08_demo	client/src/main/resources/dark-v1/ui/ui_map_stage_shadow_depths_room_topology_source_pr08_demo.png	12368e284c314ee32cda27683615dbd9b8f7b0396f6af6e1600c538beeed7ba1	ui.map_stage.shadow_depths.room_plate.pr08_demo	client/src/main/resources/dark-v1/ui/ui_map_stage_shadow_depths_room_plate_pr08_demo.png	c61f5f7c6f9924acbae795a606b28b7ec697e463ea31a57d120bdf70421a2c46	16	12	129	671	1333	2	7_6	tileset.shadow_depths:16x12:671:7_6:129	director board: full plate, dedicated topology source, actual runtime crop
