family	artifact	stage	width	height	avgRgb	midOver45	brightOver70	hash
forest_edge	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/ui_map_stage_forest_edge_room_topology_source_pr08_v1.png	v1-source	1448	1086	32,32,24	0.183335	0.005484	37b89f7cc36bb0b6ce380bda82b3fc39d9fc6c64df8d91f5c270f1ebeec8728c
forest_edge	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/ui_map_stage_forest_edge_room_topology_source_pr08_v2.png	v2-source	1448	1086	33,32,22	0.282432	0.053702	b4d845b549688434db3cb8f1be9d22cf753727e1ba40ebd604afa8d9da728a67
mine	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/ui_map_stage_mine_room_topology_source_pr08_v1.png	v1-source	1448	1086	30,28,24	0.086446	0.001727	edba8f215bf4009c90325d33d89e4318b0626bb50c637e17e616766b2686d7d0
mine	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/ui_map_stage_mine_room_topology_source_pr08_v2.png	v2-source	1448	1086	31,27,23	0.221539	0.032493	7335e931483630be5fb61fd008df6d4480c4df9cc0db313208a51fbc1fe9ae3e
shadow_depths	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/ui_map_stage_shadow_depths_room_topology_source_pr08_v1.png	v1-source	1024	1536	20,21,26	0.017076	0.000077	345ad931b002858ccb06dddc240b177a848565fb8ac393aabfc805f6a4e799a4
shadow_depths	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/ui_map_stage_shadow_depths_room_topology_source_pr08_v2.png	v2-source	1024	1536	20,21,29	0.150434	0.020147	12368e284c314ee32cda27683615dbd9b8f7b0396f6af6e1600c538beeed7ba1
all	UI/review/dark-uiux-pr08-exploration/non-ruins-topology-source-v2-2026-06-03/non-ruins-topology-source-v2-board.png	comparison-board	1192	1146	N/A	N/A	N/A	f709fee5489fe271cf21ddff5e3e22fa50d4f264e8df35b72bcc895a3054c290
